NOC 2016 Code (1-digit),NOC 2016 Label,NOC 2021 Code (1-digit),NOC 2021 Label,Description
0,Start deletion. Management occupations End deletion.,0,Legislative and senior management occupations,All middle management unit groups were relocated in their respective broad occupational category.
1,"Business, finance and administration occupations",1,"Business, finance and administration occupations",N/A
2,Natural and applied sciences and related occupations,2,Natural and applied sciences and related occupations,N/A
3,Health occupations,3,Health occupations,N/A
4,"Occupations in education, law and social, community and government services",4,"Occupations in education, law and social, community and government services",N/A
5,"Occupations in art, culture, recreation and sport",5,"Occupations in art, culture, recreation and sport",N/A
6,Sales and service occupations,6,Sales and service occupations,N/A
7,"Trades, transport and equipment operators and related occupations",7,"Trades, transport and equipment operators and related occupations",N/A
8,"Natural resources, agriculture and related production occupations",8,"Natural resources, agriculture and related production occupations",N/A
9,Occupations in manufacturing and utilities,9,Occupations in manufacturing and utilities,N/A