#2144,#21331,194,"Geological engineers","Geological engineers","Hydrogeology engineer",https://youtu.be/0euKFwZLAhw,Vancouver,Mainland/Southwest,"As a hydrogeological engineer, Emily’s goal is to prevent water contamination by studying ground water problems and designing solutions. As part of her work, she spends time in the field collecting data and inspecting damage to ground water systems such as wells. Emily is passionate about environmental and social issues and finds her career is the perfect blend of addressing both."
#2253,#22212,133,"Drafting Technologists and Technicians","Drafting technologists and technicians","Drafting technician",https://youtu.be/-zpx84KT_8s,"Prince George",Cariboo,"A drafting technician shows Brian how he prepares drawings and process diagrams to map industrial projects. In his work he uses computers to develop models, and sometimes does field work to collect notes and measurements using 3D scanners."
#5122,#51110,132,Editors,Editors,"Managing editor",https://youtu.be/UsLsx3o55Wk,"Dawson Creek",Northeast,"Brian interviews a managing editor from Dawson Creek and learns what’s involved in editing a newspaper—­ both online and in print. It’s a fast-paced job where it’s critical to see fine details and be knowledgeable in a variety of areas."
#1411,#14100,131,"General Office Support Workers","General office support workers","General office support worker",https://youtu.be/4867Bc9ktDw,"Ft. St. John",Northeast,"An office support worker from Fort St. John explains the importance of being detail-oriented and having clerical skills in her role. The most rewarding part of her job is providing the best service possible to her colleagues and clients."
#4412,#44101,130,"Home Support Workers, Housekeepers and Related Occupations","Home support workers, caregivers and related occupations","Home support worker",https://youtu.be/PJu38LNOtRg,Castlegar,Kootenay,"Brian travels to Castlegar to meet a home support worker, and learns how rewarding it is to play a role in providing care and companionship to seniors.  Workers in this field help their clients keep their independence and mobility."
#4161,#41400,129,"Natural and Applied Science Policy Researchers, Consultants and Program Officers","Natural and applied science policy researchers, consultants and program officers","Natural science policy program manager",https://youtu.be/ibMhoXvmItc,Nelson,Kootenay,"Brian meets a natural science policy program manager who says that her job is a mix of office and field work.  She conducts research and gives advice on environmental projects. It’s rewarding for her to see improvements to wildlife areas."
#6231,#63100,128,"Insurance Agents and Brokers","Insurance agents and brokers","Insurance broker",https://youtu.be/0iRvVzxuJmc,Nelson,Kootenay,"Brian meets a Nelson insurance broker who explains the job involves giving sound advice and customizing insurance plans to suit her clients’ needs. She enjoys this role, as she likes working with people and because no two days are the same."
#2282,#22221,127,"User Support Technicians","User support technicians","User support technician",https://youtu.be/Udl63UA2U0c,Nelson,Kootenay,"A user support technician talks to Brian about how he provides technical support to clients who are experiencing issues with their computers or devices. This job is about research, problem solving and communicating solutions to customers."
#3222,#32111,126,"Dental Hygienists and Dental Therapists","Dental hygienists and dental therapists","Dental hygienist",https://youtu.be/iyO906A2Iwo,Summerland,"Thompson-Okanagan  ","A dental hygienist shares with Brian all the elements of her job, from reviewing clinical data to cleaning and polishing teeth. She explains that educating her clients on how to keep a healthy smile is also a big part of her job."
#9417,#94106,125,"Machining Tool Operators","Machining tool operators","CNC machine operator",https://youtu.be/Ptsj6-V-qu8,Penticton,Thompson-Okanagan,"A machine operator gives Brian a tour of his shop where he transforms raw steel plates into finished products. He takes care to be precise and accurate to ensure quality. He says “when you have pride in your work, it makes work enjoyable.”"
#6211,#62010,124,"Retail Sales Supervisors","Retail sales supervisors","Retail sales supervisor",https://youtu.be/deNr7yOyK2Y,Kelowna,Thompson-Okanagan,"Brian heads to Kelowna to meet a retail sales supervisor at a natural pet food store. Her duties include hiring and supervising staff, maintaining inventories, overseeing social media and ensuring customer satisfaction."
#5121,#51111,123,"Authors and Writers","Authors and writers (except technical)",Author,https://youtu.be/WEZU4d9Szqo,Kelowna,Thompson-Okanagan,"Brian interviews an author who describes a typical day in her career. She offers advice for those just starting out, noting that you have to be persistent. She also describes some other avenues that authors may take in their career."
#3216,#32122,122,"Medical Sonographers","Medical sonographers","Medical sonographer",https://youtu.be/IHDU67A0uAM,Kelowna,Thompson-Okanagan,"A Kelowna medical sonographer shows Brian how she takes diagnostic ultrasound images and prepares preliminary findings to help in a patient’s diagnosis. She takes images of babies, but explains she also does a wide variety of imaging."
#2281,#22220,121,"Computer Network Technicians","Computer network and web technicians","Computer network technician",https://youtu.be/ISMsrEsaOWs,"West Vancouver",Mainland/Southwest,"A computer network technician takes Brian through a typical day of working on networks, hardware, software and computer equipment.  What he really likes about this career is that it “is changing all the time in a good, positive way”."
#5227,#53111,120,"Support Occupations in Motion Pictures, Broadcasting, Photography and The Performing Arts","Motion pictures, broadcasting, photography and performing arts assistants and operators","Boom operator",https://youtu.be/9qSjMOb9Vj0,Vancouver,Mainland/Southwest,"Brian interviews one of Career Treks’ own crew—a boom operator!  He operates the boom microphone and assists the production sound mixer. He says it’s a great career if you want to work in film, with technology, and with creative people."
#2133,#21310,119,"Electrical and Electronics Engineers","Electrical and electronics engineers","Electrical engineer",https://youtu.be/V3gjgqxN238,Vancouver,Mainland/Southwest,"Brian interviews an electrical engineer who plans and designs electrical systems for buildings. She says engineering is about innovation, creativity, and problem solving. It also involves a lot of teamwork—her favourite part of the job."
#1222,#12100,118,"Executive Assistants","Executive assistants","Executive assistant",https://youtu.be/mnti-_qFxA8,Vancouver,Mainland/Southwest,"An executive assistant with the Vancouver Canucks meets Brian and describes how she supports her executive. She explains that to be effective you need to be organized and have excellent communication and relationship building skills."
#3124,#31302,117,"Allied Primary Health Practitioners","Nurse practitioners","Nurse practitioner",https://youtu.be/uSxv2k_PlqY,Chemainus,"Vancouver Island/Coast","Brian visits a nurse practitioner at the H’ulh-etun health centre who explains that she diagnoses illnesses, performs procedures and promotes healthy living and disease prevention to make sure her patients’ health-care needs are met."
#1431,#14200,116,"Accounting and Related Clerks","Accounting and related clerks","Accounting clerk",https://youtu.be/aWn7mULLowQ,Victoria,"Vancouver Island/Coast","Brian heads to Victoria to meet an accounting clerk who shares that he works on accounts payable and receivable, financial statements, and more. He really likes working with clients to help them achieve their financial goals."
#2151,#21200,115,Architects,Architects,Architect,https://youtu.be/5mA9sIMvTzE,Victoria,"Vancouver Island/Coast","An architect shows Brian how he uses sketches, technical drawings and 3D animation in his work. He talks about the many areas an architect can specialize in, from design architecture to technical architecture to business ownership."
#3231,#32100,114,Opticians,Opticians,Optician,https://youtu.be/z3SdQ3g0PR0,Victoria,"Vancouver Island/Coast","An optician describes her job as a blend of helping people find glasses, and doing adjustments and repairs. Her work requires problem solving and an eye for detail. She loves helping people find glasses that they’re excited to wear."
#2174,#21232,113,"Computer Programmers and Interactive Media Developers","Software developers and programmers","Software developer",https://youtu.be/i-SNbWdyCLg,Victoria,"Vancouver Island/Coast","Viviana talks to a software developer about the skills he uses in his job. During the visit, he explains that his field is dynamic and growing, with a lot of opportunities. His advice is that if you are interested in this career, start your training early."
#2175,#21234,112,"Web Designers And Developers","Web developers and programmers","Web developer",https://youtu.be/n1XvWSkQBqA,Victoria,"Vancouver Island/Coast","When Viviana talks to a web developer, she learns the skills to success in this career. You must be able to visualize and come up with fresh ideas, as well as understand code and be good at math. Also, ongoing learning is key because the technology is always changing."
#1311,#12200,111,"Accounting Technicians and Bookkeepers","Accounting technicians and bookkeepers",Bookkeeper,https://youtu.be/uoWPgJrJbmU,"Prince Rupert","North Coast & Nechako","In Prince Rupert, Viviana meets a bookkeeper, who loves making sure numbers are entered correctly into the accounting system. In this career, organizational skills are key, as well as being detail-oriented, good with numbers and accurate. "
#0122,#10021,110,"Banking, Credit and Other Investment Managers","Banking, credit and other investment managers","Account manager",https://youtu.be/iBQlSfAHDoY,Terrace,"North Coast & Nechako","An account manager solves clients’ problems and helps them achieve their financial goals. It’s important to be social for this work, and as Viviana finds out, there is nothing boring about it—no two clients, situations or days are the same in this fast-paced career. "
#7237,#72106,109,"Welders and Related Machine Operators","Welders and related machine operators",Welder,https://youtu.be/wM6gG_woqmk,Terrace,"North Coast & Nechako","In this hands-on, diverse job, a welder can work on projects from building boats to erecting steel buildings to repairing equipment out in the field. Viviana gets to try out welding as she learns about this job, its rewarding aspects and the path to this career. "
#1111,#11100,108,"Financial Auditors and Accountants","Financial auditors and accountants","Chartered professional accountant",https://youtu.be/s9Tk7nraMcM,"Williams Lake",Cariboo,"Even though he does personal and corporate taxes, audits and “compiles numbers” for reports, Viviana learns a chartered professional accountant’s work is centred on people. A common misconception, he says, is the job is dry and boring, but it’s actually a lot of fun! "
#0621,#60020,107,"Retail and Wholesale Trade Managers","Retail and wholesale trade managers","Retail manager",https://youtu.be/AT9TaZqWmT0,Nelson,Kootenay,"In Nelson, Viviana meets a retail manager at a busy sports gear store. He describes his work, which involves managing staff, guiding the team, and selling products to customers. He also talks about the career’s opportunities for growth."
#0711,#70010,106,"Construction Managers","Construction managers","Construction manager",https://youtu.be/3NsPnDWtLg0,Kelowna,Thompson-Okanagan,"As a young man he loved building things. Now he develops people instead of buildings and instead of working with his hands, he works with his experience. Viviana visits a construction manager at his job site, where no two days are the same. "
#7311,#72400,105,"Construction Millwrights and Industrial Mechanics","Construction millwrights and industrial mechanics","Construction millwright",https://youtu.be/PykipkwcOIU,Kelowna,Thompson-Okanagan,"Viviana meets with the person who maintains and repairs equipment in a Kelowna sawmill. For this construction millwright, the best part of his detail-oriented career is “getting that piece of equipment back up and running.”"
#6321,#62200,104,Chefs,Chefs,Chef,https://youtu.be/e2EZ5Zv0nfg,Kelowna,Thompson-Okanagan,"Viviana cooks with a chef, who describes himself as a creator of food, a keeper of standards, and an enforcer of policies. She discovers that this career is not just about food—it involves problem-solving, motivating people and being a good leader."
#4212,#42201,103,"Social and Community Service Workers","Social and community service workers","Social and community service worker",https://youtu.be/n2QZK3uSk5Y,Oliver,Thompson-Okanagan,"This career is “more than a job,” as Viviana learns when she meets with a social and community worker, who feels honoured to be with community members during their most vulnerable time. She empowers the community, leading them toward health and wellness. "
#3214,#32103,102,"Respiratory Therapists, Clinical Perfusionists and Cardiopulmonary Technologists","Respiratory therapists, clinical perfusionists and cardiopulmonary technologists","Respiratory therapist",https://youtu.be/t8YWz8o5HYQ,Vancouver,Mainland/Southwest,"Viviana visits a hospital to talk to a respiratory therapist, who looks after the breathing portion of a patient’s life support. He is part of a multi-disciplinary team that helps patients regain their health, one of the many rewarding aspects of his job. "
#3233,#32101,101,"Licensed Practical Nurses","Licensed practical nurses","Licensed practical nurse",https://youtu.be/fUdiEP-FD9g,Vancouver,Mainland/Southwest,"The first stop and the last stop, the licensed practical nurse is there throughout a patient’s stay in the hospital. Among her many tasks, she ensures continuity of care, administers injections and tracks vitals. One of the rewards of this career is saving lives. "
#4311,#42100,100,"Police Officers (Except Commissioned)","Police officers (except commissioned)","Police officer",https://youtu.be/rx1iBH9-hLs,Victoria,"Vancouver Island/Coast","During a visit at the Victoria Police Department, Viviana rides with a police officer, is shown around the station and learns about forensic technology. Discover the rewards that come with serving the community in this multi-faceted job. "
#1123,#11202,99,"Professional Occupations In Advertising, Marketing and Public Relations","Professional occupations in advertising, marketing and public relations","Advertising marketer",https://youtu.be/zXBY9QH_dhU,Victoria,"Vancouver Island/Coast","Viviana goes to Victoria to meet an advertising marketer who works with clients to develop and evolve their brand strategies. This career would be ideal for someone who is creative, innovative, and entrepreneurial—and thrives under the pressure of deadlines. "
#0112,#10011,98,"Human Resources Managers","Human resources managers","Human resources manager",https://youtu.be/B8Lubga0tNA,Vancouver,Mainland/Southwest,"Viviana talks to a human resources manager at a non-profit organization and finds out that this career involves being a jack of all trades. Her roles range from hiring staff and helping employees advance in their careers to “teaching leaders to be better leaders”. "
#4011,#41200,97,"University Professors and Lecturers","University professors and lecturers","University professor",https://youtu.be/-D8kxS8BQfw,Vancouver,Mainland/Southwest,"Viviana meets a chemistry professor at a university, who describes her typical day. It includes collaborating with people and time in the research lab, the lecture hall and in her office. She finds learning something new from her bright students to be very rewarding."
#1414,#14101,96,Receptionists,Receptionists,Receptionist,https://youtu.be/gCizwITonaY,Vancouver,Mainland/Southwest,"Viviana visits a receptionist, the first person people see when they enter a business—but who does so much more than greet visitors. Viviana is walked through answering the phone, preparing paperwork, and keeping everyone in a busy office organized and on track."
#7362,#73311,95,"Railway Conductors and Brakemen/Women","Railway conductors and brakemen/women",Conductor,https://youtu.be/-nSmJnTBjhE,"Port Coquitlam",Mainland/Southwest,"Viviana visits Port Coquitlam to find out how railway conductors help get trains safely to their destinations. She talks to a conductor who describes a physical job on the move, with her favourite part “working with all the great people.” "
#0015,#00018,94,"Senior Managers - Trade, Broadcasting and Other Services, N.e.c.","Senior managers - public and private sector","Chief financial officer",https://youtu.be/B4ztw5v9CzY,Vancouver,Mainland/Southwest,"Viviana meets a chief financial officer of a Vancouver chocolate manufacturer. Touring the factory, she learns about the financial side of business management and his roles as a leader and executive team member of a growing company. "
#5222,#52110,93,"Film and Video Camera Operators","Film and video camera operators","Camera operator",https://youtu.be/Vnl2WRaqu5g,Vancouver,Mainland/Southwest,"A Vancouver camera operator shows Viviana what’s involved in capturing great moments on screen. Her exciting career offers daily variety in location, schedule and people, and she also likes the opportunity for continued growth and learning. "
#5131,#51120,92,"Producers, Directors, Choreographers and Related Occupations","Producers, directors, choreographers and related occupations",Producer,https://youtu.be/OXvsdJs1v0o,Vancouver,Mainland/Southwest,"Viviana heads to a Vancouver TV studio to interview a producer, who explains how she communicates the program vision to the crew. In this fast-paced environment, each day is different. Seeing the end product of her efforts is “really cool.”"
#5243,#53123,91,"Theatre, Fashion, Exhibit and Other Creative Designers","Theatre, fashion, exhibit and other creative designers","Fashion designer",https://youtu.be/IfCgW_rmOo0,Vancouver,Mainland/Southwest,"A Vancouver fashion designer shows Viviana how he follows and incorporates current trends in his collections. Deadline-driven but flexible, this social, hands-on career emphasizes being creative and working as part of a team. "
#5226,#52119,90,"Other Technical and Co-Ordinating Occupations in Motion Pictures, Broadcasting and The Performing Arts","Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts","Special effects makeup",https://youtu.be/0U9LpYQjiuc,Coquitlam,Mainland/Southwest,"Viviana tours a special effects makeup artist’s Coquitlam studio and observes the creative process at work. This fascinating job combines fine art and problem-solving challenges. Seeing the finished product is the crowning part of the day. "
#4162,#41401,89,"Economists and Economic Policy Researchers and Analysts","Economists and economic policy researchers and analysts","Chief economist",https://youtu.be/lklBAFlCvwU,Vancouver,Mainland/Southwest,"Viviana meets a chief economist in Vancouver, who explains his job of analyzing economic data and predicting the behaviour of markets. His forecasts, reports and presentations help clients make informed decisions."
#2175,#21234,88,"Web Designers And Developers","Web developers and programmers","Web developer",https://youtu.be/WmJ8NqHAh6M,Vancouver,Mainland/Southwest,"A Vancouver web developer tells Viviana how he translates ideas into visual stories on the web. His greatest rewards come from working together to solve problems and bring a project to reality. This dynamic career “can take you anywhere.” "
#9532,#94210,87,"Furniture and Fixture Assemblers and Inspectors","Furniture and fixture assemblers, finishers, refinishers and inspectors","Designer, furniture maker",https://youtu.be/9mm9PWMEbmM,Vancouver,Mainland/Southwest,"A Vancouver furniture maker and designer shows Brian how he creates unique pieces for his clients. The key to success is finding the work; the rewards come in his original designs. His career offers many avenues and endless opportunities. "
#1315,#13200,86,"Customs, Ship and Other Brokers","Customs, ship and other brokers","Customs broker",https://youtu.be/zToLB35zBv8,Vancouver,Mainland/Southwest,"A Vancouver customs broker tells Brian how she helps clients import shipments into Canada. To do her job well, she stays in touch, juggles emails and keeps precise records. She mostly works at her desk, but has also travelled for the job."
#2211,#22100,85,"Chemical Technologists and Technicians","Chemical technologists and technicians","Brew master",https://youtu.be/1zYHWQrQDZ4,Fernie,Kootenay,"A Fernie brew master shows Viviana the dynamic and meticulous process of making beer.  A blend of science and creativity, the job allows him to maintain quality and develop new and innovative brands.   "
#2224,#22113,84,"Conservation and Fishery Officers","Conservation and fishery officers","Conservation officer",https://youtu.be/JdxOcGs7MBw,Fernie,Kootenay,"Viviana rides along with a conservation officer, who protects the environment and natural resources. Dealing with wildlife, hunting and angling issues and pollution, he investigates possible violations. A grateful public is his key reward. "
#5111,#51100,83,Librarians,Librarians,Librarian,https://youtu.be/OxebUahoL5w,Nelson,Kootenay,"A Nelson librarian tells Viviana about the services and programs they provide to the public, from babies to seniors. Behind-the-scenes detail is vital, but helping people find things and making a difference in their lives is her top reward. "
#5123,#51113,82,Journalists,Journalists,Journalist,https://youtu.be/T4YaKm0NyX8,Nelson,Kootenay,"Viviana heads to Nelson to meet a journalist who shows her the exciting process of creating a newspaper, from blank slate to finished product. The job involves writing well, putting people at ease, passion and openness to the unexpected. "
#5241,#52120,81,"Graphic Designers and Illustrators","Graphic designers and illustrators","Graphic designer",https://youtu.be/pOz68qngB34,Penticton,Thompson-Okanagan,"A graphic designer shows Brian the kind of design work she does for customers. She describes her job as a blend of innovation, art, design and communication skills. She likes the job’s many opportunities to grow and expand her knowledge. "
#6232,#63101,80,"Real Estate Agents and Salespersons","Real estate agents and salespersons","Real estate agent",https://youtu.be/oubdrAb3LsM,Kelowna,Thompson-Okanagan,"A Kelowna realtor shares a day with Brian, discussing how she builds relationships and manages transactions from start to finish. She describes her varied schedule and routine. Her greatest reward is landing the perfect home for her client. "
#9531,#94219,79,"Boat Assemblers and Inspectors","Other products assemblers, finishers and inspectors","Boat builder",https://youtu.be/Qq_mClkGTPA,Vernon,Thompson-Okanagan,"Brian visits a Vernon boat builder, who describes the process and skills required to build a quality water-worthy boat. The most rewarding part of his job is delivering the finished product and putting a smile on the customer’s face.  "
#2153,#21202,78,"Urban and Land Use Planners","Urban and land use planners","Community planner",https://youtu.be/qvViXTAe3Ts,Kamloops,Thompson-Okanagan,"A Kamloops community planner tells Brian that it takes teamwork and creativity to move a plan from concept to reality. He reviews applications, reads maps, attends meetings and submits reports. His biggest reward: solving people’s problems. "
#3236,#32201,77,"Massage Therapists","Massage therapists","Registered massage therapist",https://youtu.be/LvjN5sAEnLI,Kamloops,Thompson-Okanagan,"A registered massage therapist in Kamloops shows Brian how she works with clients to relieve pain and discomfort and increase range of motion, often after an injury. Her role in someone’s healthy recovery is the greatest reward of the job. "
#0714,#70012,76,"Facility Operation and Maintenance Managers","Facility operation and maintenance managers","Facility operation and maintenance manager",https://youtu.be/7XXDoaZtQ60,"108 Mile Ranch",Cariboo,"Viviana tours a Cariboo health ranch with a facility operations and maintenance manager. He describes what makes for smooth operation of a multi-faceted resort. He loves providing top-quality services to people from all over the world. "
#4156,#41321,75,"Employment Counsellors","Career development practitioners and career counsellors (except education)","Employment case manager",https://youtu.be/MSqphLKFG_c,"Williams Lake",Cariboo,"Viviana heads to Williams Lake to meet an employment case manager, who describes helping clients learn how to search for and land a job. When clients win the jobs they’ve worked toward, she shares their joy. “It’s the most amazing feeling.” "
#6331,#63201,74,"Butchers, Meat Cutters And Fishmongers - Retail and Wholesale","Butchers - retail and wholesale",Butcher,https://youtu.be/ea37cSOY86s,"Williams Lake",Cariboo,"A Williams Lake butcher takes Viviana around his shop. He stresses the need to know meat cuts and quality and how to safely operate a range of machines. His biggest reward comes from sending happy customers home with a quality product. "
#8422,#84111,73,"Silviculture and Forestry Workers","Silviculture and forestry workers",Silviculturist,https://youtu.be/ZwI2cJrmPVQ,Quesnel,Cariboo,"Viviana heads to Quesnel to meet a silviculturist who shows her how to plant trees. He describes the effort that goes into preparing for the May to July planting season, and visits his tree planters to check their surroundings and safety. "
#7532,#74201,72,"Water Transport Deck and Engine Room Crew","Water transport deck and engine room crew","Deck hand",https://youtu.be/gqQlVrcHm7s,"Prince Rupert","North Coast & Nechako","Viviana visits a Prince Rupert deck hand and learns about his job, from directing traffic on the car deck to steering on the ship’s bridge. She learns all about the procedures that keep a vessel shipshape and its cargo and passengers safe. "
#2273,#72602,71,"Deck Officers, Water Transport","Deck officers, water transport","Tug master",https://youtu.be/Rhe9vH8cXPI,"Prince Rupert","North Coast & Nechako","Viviana interviews a Prince Rupert tug master and boards his tugboat to learn what it takes to safely guide ships in and out of the harbour. In his job, every day brings different activities and people, and an amazing view from his office!  "
#2275,#72604,70,"Railway Traffic Controllers and Marine Traffic Regulators","Railway traffic controllers and marine traffic regulators","Deputy harbour master",https://youtu.be/YrqUwYmN4yA,"Prince Rupert","North Coast & Nechako","Viviana tours the busy Port of Prince Rupert, where she meets the deputy harbour master, whose team manages the safety and security of the harbour and visiting ships. Watch him monitor the action from the busy control room and harbourside.  "
#2122,#21111,69,"Forestry Professionals","Forestry professionals",Forester,https://youtu.be/cNQCUbei8to,Terrace,"North Coast & Nechako","A Terrace forester explains to Brian how he looks after a forest’s interests. With no typical days, his work blends office and field work, and the travel involved offers adventure. “Just being outdoors” represents a key reward on the job. "
#4021,#41210,68,"College and Other Vocational Instructors","College and other vocational instructors","Vocational instructor",https://youtu.be/bjF7yRE0RH8,"Prince George",Cariboo,"Brian heads to Prince George to meet a vocational instructor, who explains how she prepares students for a practical nursing career. A mix of classroom and hands-on training actively engages students. "
