all_industries,"All industries",2817300,1.5,1.4,1.4,448700,671300,1120000
agriculture_fishing,"Agriculture and fishing",28600,0.4,0.1,0.3,700,7000,7800
farms_and_support_activities,"Farms and support activities",27000,0.2,0.2,0.2,300,6500,6800
fishing_hunting_and_trapping,"Fishing, hunting and trapping",1600,4.4,0,2.2,400,500,900
forestry_logging_support_activities,"Forestry, logging and support activities",16400,-0.3,-0.9,-0.6,-1200,4200,3100
mining_oil_gas_extraction,"Mining and oil and gas extraction",30800,1,-0.1,0.4,1300,8900,10200
oil_and_gas_extraction,"Oil and gas extraction",5700,1.8,-0.5,0.6,400,1700,2100
mining,Mining,17700,0.9,-0.1,0.4,700,5100,5800
support_activities_for_mining_and_oil_and_gas_extraction,"Support activities for mining and oil and gas extraction",7400,0.5,0.1,0.3,200,2000,2300
utilities,Utilities,16500,1.2,1.2,1.2,2100,4600,6700
construction,Construction,236700,1.4,1.7,1.6,41800,57900,99600
heavy_and_civil_engineering_construction,"Heavy and civil engineering construction",19900,0.5,2.3,1.4,3000,5400,8400
specialty_trade_contractors,"Specialty trade contractors",125800,1.4,1.4,1.4,19700,28600,48400
residential_building_construction,"Residential building construction",76300,1.9,2.2,2.1,18500,20300,38700
non_residential_building_construction,"Non-Residential building construction",14600,0.3,0.5,0.4,500,3600,4100
manufacturing,Manufacturing,174700,0.6,0.7,0.7,12000,44300,56200
food_beverage_and_tobacco_manufacturing,"Food, beverage and tobacco manufacturing",40800,1.7,1.4,1.6,7200,10400,17500
wood_product_manufacturing,"Wood product manufacturing",22400,-0.9,-0.7,-0.8,-2000,5800,3800
paper_manufacturing,"Paper manufacturing",9400,-0.5,-0.5,-0.5,-500,2600,2100
primary_metal_manufacturing,"Primary metal manufacturing",5800,1.7,0,0.8,500,1700,2200
fabricated_metal_product_manufacturing,"Fabricated metal product manufacturing",11900,-0.3,0.2,-0.1,-200,2800,2600
machinery_manufacturing,"Machinery manufacturing",11600,1.9,2.3,2.1,2800,3100,5900
ship_and_boat_building,"Ship and boat building",4900,1,0.6,0.8,400,1200,1700
transportation_equipment_manufacturing_excluding_shipbuilding,"Transportation equipment manufacturing (excluding shipbuilding)",7400,1.7,1.2,1.4,1200,2000,3100
other_manufacturing_1,"Other manufacturing (1)",60500,0.2,0.6,0.4,2600,14700,17400
wholesale_trade,"Wholesale trade",93000,1.4,0.9,1.2,11600,24000,35600
retail_trade,"Retail trade",344400,1.3,1.3,1.3,49100,74700,123700
motor_vehicle_and_parts_dealers,"Motor vehicle and parts dealers",39200,1.1,1,1,4300,9300,13600
health_and_personal_care_stores,"Health and personal care stores",37000,1.9,1.4,1.7,6900,7900,14800
online_shopping,"Online shopping",12000,2.6,1.7,2.1,2900,2900,5800
other_retail_trade_excluding_cars_online_shopping_and_personal_care_2,"Other retail trade (excluding cars, online shopping and personal care) (2)",256100,1.2,1.3,1.3,35000,54600,89600
transportation_warehousing,"Transportation and warehousing",144400,1.4,1.1,1.2,19200,37700,56900
air_transportation_and_support_activities,"Air transportation and support activities",22600,1.2,1.1,1.1,2800,6200,9000
rail_transportation_and_support_activities,"Rail transportation and support activities",5600,-0.3,1,0.3,200,1600,1800
water_transportation,"Water transportation",6700,1.7,1.2,1.5,1100,1600,2700
ports_and_freight_transportation_arrangement,"Ports and freight transportation arrangement",13200,3,1.4,2.2,3400,3600,7000
truck_transportation_and_support_activities,"Truck transportation and support activities",36200,0.3,0.6,0.4,1600,9300,10800
transit_sightseeing_and_pipeline_transportation,"Transit, sightseeing and pipeline transportation",26500,1.9,1.5,1.7,5000,7200,12300
postal_service_couriers_and_messengers,"Postal service, couriers and messengers",24300,2,0.9,1.5,3900,6100,10000
warehousing_and_storage,"Warehousing and storage",9400,1.3,1.1,1.2,1200,2100,3300
finance_insurance_real_estate,"Finance, insurance and real estate",173400,1.2,1.1,1.2,21700,44400,66100
finance,Finance,75800,1.1,0.8,1,7900,18200,26100
insurance_carriers_and_related_activities,"Insurance carriers and related activities",36200,1.3,1.7,1.5,6000,9300,15300
real_estate_and_rental_and_leasing,"Real estate and rental and leasing",61400,1.2,1.2,1.2,7800,16900,24700
professional_scientific_technical_services,"Professional, scientific and technical services",283600,2.7,2.4,2.5,83600,66700,150300
architectural_engineering_and_related_services,"Architectural, engineering and related services",50700,2.7,1.6,2.2,12400,12300,24700
computer_systems_design_and_related_services,"Computer systems design and related services",88600,4,4.2,4.1,45300,21500,66800
management_scientific_and_technical_consulting_services,"Management, scientific and technical consulting services",23100,1.6,0.7,1.2,2900,5800,8700
legal_accounting_design_research_and_advertising_services,"Legal, accounting, design, research and advertising services",121200,1.8,1.6,1.7,23000,27100,50000
business_building_other_support_services,"Business, building and other support services",90000,0.9,0.7,0.8,7500,23100,30600
travel_arrangement_services,"Travel arrangement services",7000,2.1,1.5,1.8,1500,2300,3700
business_and_building_support_services_excluding_travel,"Business and building support services (excluding travel)",83000,0.8,0.6,0.7,6100,20800,26900
educational_services,"Educational services",217600,1.4,0.9,1.1,26400,53400,79800
elementary_and_secondary_schools,"Elementary and secondary schools",114100,1.5,0.9,1.2,14900,30500,45300
community_colleges,"Community colleges",16700,1.4,0.9,1.1,2100,4500,6600
universities,Universities,51100,0.5,1,0.7,3900,10500,14400
private_and_trades_education,"Private and trades education",35700,2.1,0.7,1.4,5500,7900,13500
health_care_social_assistance,"Health care and social assistance",380300,2.1,1.9,2,87200,90900,178100
ambulatory_health_care_services,"Ambulatory health care services",99100,1.5,1.8,1.7,18300,23400,41700
hospitals,Hospitals,149700,2.6,2.1,2.3,39900,35700,75600
nursing_and_residential_care_facilities,"Nursing and residential care facilities",51100,2.4,1.9,2.2,12500,12800,25300
social_assistance_excluding_child_care,"Social assistance excluding child care",55100,1.6,1.5,1.5,9400,13800,23200
child_day_care_services,"Child day care services",25300,2.6,2.3,2.4,7100,5200,12300
information_culture_recreation,"Information, culture and recreation",141400,1.6,1.1,1.3,20800,30400,51300
publishing_industries,"Publishing industries",12500,0.6,0.3,0.4,600,2600,3200
motion_picture_and_sound_recording_industries,"Motion picture and sound recording industries",29500,2,1.2,1.6,5300,6100,11500
telecommunications,Telecommunications,15200,0.4,0.5,0.5,700,3300,4000
broadcasting_data_processing_and_information,"Broadcasting, data processing and information",10000,1.6,1.2,1.4,1500,2400,3900
performing_arts_spectator_sports_and_related_industries,"Performing arts, spectator sports and related industries",23700,1.8,1.1,1.4,3800,5300,9100
entertainment_and_recreation,"Entertainment and recreation",50600,1.8,1.3,1.6,8900,10700,19600
accommodation_food_services,"Accommodation and food services",192000,1.4,1.5,1.4,30000,34600,64600
accommodation_services,"Accommodation services",32100,1.6,1.6,1.6,5700,8300,14000
food_services_and_drinking_places,"Food services and drinking places",159900,1.3,1.4,1.4,24300,26300,50600
other_private_services,"Repair, personal and non-profit services",111100,1.3,1.6,1.4,17400,25600,43000
automotive_repair_and_maintenance,"Automotive repair and maintenance",20200,0.3,0.1,0.2,400,4500,4800
personal_non_automotive_repair_and_non_profit_services,"Personal, non-automotive repair and non-profit services",90800,1.4,1.9,1.7,17000,21200,38200
public_administration,"Public administration",142400,0.9,1.4,1.1,17500,38900,56500
federal_government_public_administration,"Federal government public administration",45500,1,1.9,1.5,7400,12500,19800
provincial_and_territorial_public_administration,"Provincial and territorial public administration",45700,0,0.5,0.3,1100,12200,13400
local_and_indigenous_public_administration,"Local and Indigenous public administration",51200,1.4,1.7,1.6,9000,14200,23300
